################################################################################
# Collectl:   V3.6.0-1  HiRes: 1  Options: -o z -D -P -i 10 -f /mnt/vol2/msevilla/ceph-logs/osd/cpu/ 
# Host:       issdm-7  DaemonOpts: -f /var/log/collectl -r00:00,7 -m -F60 -s+YZ
# Distro:       Platform: H8DMR-82
# Date:       20150604-122920  Secs: 1433446160 TZ: -0700
# SubSys:     bcdfijmnstYZ Options: z Interval: 10:60 NumCPUs: 4  NumBud: 4 Flags: i
# Filters:    NfsFilt:  EnvFilt: 
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        AuthenticAMD Speed(MHz): 2010.310 Cores: 2  Siblings: 2
# Kernel:     3.13.0-52-generic  Memory: 8175576 kB  Swap: 8386556 kB
# NumDisks:   5 DiskNames: sda sdb sdc sde sdd
# NumNets:    6 NetNames: eth0:?? eth1:1000 eth2:1000 lo: lxcbr0: docker0:
# NumSlabs:   134 Version: 2.1
# IConnect:   NumHCAs: 1 PortStates: 0 IBVersion:  PQVersion: 
# SCSI:       CD:0:00:01:00 DA:2:00:00:00 DA:3:00:00:00 DA:4:00:00:00 DA:5:00:00:00 DA:6:00:00:00
################################################################################
#Date Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [MEM]Tot [MEM]Used [MEM]Free [MEM]Shared [MEM]Buf [MEM]Cached [MEM]Slab [MEM]Map [MEM]Commit [MEM]SwapTot [MEM]SwapUsed [MEM]SwapFree [MEM]SwapIn [MEM]SwapOut [MEM]Dirty [MEM]Clean [MEM]Laundry [MEM]Inactive [MEM]PageIn [MEM]PageOut [MEM]PageFaults [MEM]PageMajFaults [MEM]HugeTotal [MEM]HugeFree [MEM]HugeRsvd [MEM]SUnreclaim [SOCK]Used [SOCK]Tcp [SOCK]Orph [SOCK]Tw [SOCK]Alloc [SOCK]Mem [SOCK]Udp [SOCK]Raw [SOCK]Frag [SOCK]FragMem [NET]RxPktTot [NET]TxPktTot [NET]RxKBTot [NET]TxKBTot [NET]RxCmpTot [NET]RxMltTot [NET]TxCmpTot [NET]RxErrsTot [NET]TxErrsTot [DSK]ReadTot [DSK]WriteTot [DSK]OpsTot [DSK]ReadKBTot [DSK]WriteKBTot [DSK]KbTot [DSK]ReadMrgTot [DSK]WriteMrgTot [DSK]MrgTot [INODE]NumDentry [INODE]openFiles [INODE]MaxFile% [INODE]used [NFS]ReadsS [NFS]WritesS [NFS]MetaS [NFS]CommitS [NFS]Udp [NFS]Tcp [NFS]TcpConn [NFS]BadAuth [NFS]BadClient [NFS]ReadsC [NFS]WritesC [NFS]MetaC [NFS]CommitC [NFS]Retrans [NFS]AuthRef [TCP]PureAcks [TCP]HPAcks [TCP]Loss [TCP]FTrans [BUD]1Page [BUD]2Pages [BUD]4Pages [BUD]8Pages [BUD]16Pages [BUD]32Pages [BUD]64Pages [BUD]128Pages [BUD]256Pages [BUD]512Pages [BUD]1024Pages
20150604 12:30:10 3 0 2 0 0 0 0 94 6 9826 6310 8 1011 5 0.01 0.08 0.09 8175576 2018832 6156744 0 442980 803044 251276 419608 2882472 8386556 0 8386556 0 0 500 0 0 584404 0 1561 2276 1 0 0 0 33552 561 291 0 0 302 397 0 0 0 0 560 432 494 77 0 0 0 0 0 0 201 201 0 1561 1561 0 1 1 175266 1920 0 155991 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 180 0 0 2345 3152 4096 2353 1899 5152 3680 2485 1746 11 287
20150604 12:30:20 1 0 1 0 0 0 0 98 2 8117 2738 2 1011 0 0.01 0.08 0.09 8175576 2016832 6158744 0 442980 804684 251216 420164 2882472 8386556 0 8386556 0 0 84 0 0 585704 0 567 63 0 0 0 0 33528 561 291 0 0 302 142 0 0 0 0 240 268 40 44 0 0 0 0 0 0 56 56 0 567 567 0 1 1 175266 1920 0 155991 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 137 0 0 2378 3190 4098 2394 1899 5153 3680 2485 1746 11 287
20150604 12:30:30 0 0 0 0 0 0 0 100 0 7297 895 2 1011 0 0.01 0.07 0.09 8175576 2015680 6159896 0 442980 804688 251208 420184 2882472 8386556 0 8386556 0 0 84 0 0 585708 0 4 32 0 0 0 0 33520 561 291 0 0 302 108 0 0 0 0 188 187 20 20 0 0 0 0 0 0 1 1 0 4 4 0 0 0 175266 1920 0 155991 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 100 0 0 2604 3219 4099 2393 1900 5153 3680 2485 1746 11 287
20150604 12:30:40 0 0 0 0 0 0 0 100 0 7074 945 2 1011 0 0.01 0.07 0.09 8175576 2015700 6159876 0 442980 804816 251200 420188 2882472 8386556 0 8386556 0 0 20 0 0 585832 0 11 34 0 0 0 0 33512 561 291 0 0 302 108 0 0 0 0 188 187 20 20 0 0 0 0 0 0 3 3 0 11 11 0 0 0 175266 1920 0 155991 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 101 0 0 2592 3256 4100 2393 1900 5153 3680 2485 1746 11 287
20150604 12:30:50 0 0 0 0 0 0 0 100 0 6592 804 2 1011 0 0.01 0.07 0.09 8175576 2015160 6160416 0 442984 804816 251200 420192 2882472 8386556 0 8386556 0 0 12 0 0 585832 0 10 31 0 0 0 0 33512 561 291 0 0 302 108 0 0 0 0 163 164 17 17 0 0 0 0 0 0 2 2 0 9 9 0 0 0 175266 1920 0 155991 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 85 0 0 2600 3268 4108 2394 1900 5153 3680 2485 1746 11 287
20150604 12:31:00 0 0 0 0 0 0 0 100 0 6713 821 2 1011 0 0.01 0.07 0.09 8175576 2015036 6160540 0 442984 804816 251196 420192 2882472 8386556 0 8386556 0 0 8 0 0 585832 0 3 30 0 0 0 0 33508 561 291 0 0 302 142 0 0 0 0 166 164 17 18 0 0 0 0 0 0 1 1 0 3 3 0 0 0 175268 1920 0 155991 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 85 0 0 2599 3268 4110 2393 1900 5153 3680 2485 1746 11 287
20150604 12:31:10 3 0 2 0 0 0 0 94 6 9802 5613 8 1011 3 0.01 0.07 0.08 8175576 2022748 6152828 0 442984 809812 251224 420020 2882472 8386556 0 8386556 0 0 2368 0 0 588640 0 1124 2190 0 0 0 0 33536 561 291 0 0 302 365 0 0 0 0 522 423 428 74 0 0 0 0 0 0 182 182 0 1077 1077 0 2 2 175268 1920 0 155992 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 190 0 0 1275 3148 4107 2349 1902 5153 3680 2485 1746 11 287
20150604 12:31:20 2 0 2 0 0 0 0 96 4 8416 4539 2 1011 0 0.00 0.06 0.08 8175576 2023832 6151744 0 442984 812776 251232 420064 2882472 8386556 0 8386556 0 0 112 0 0 590676 0 1101 104 0 0 0 0 33544 561 291 0 0 302 142 0 0 0 0 285 314 116 61 0 0 0 0 0 0 107 107 0 1148 1148 0 1 1 175270 1920 0 155992 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 152 0 0 1101 2945 4112 2391 1902 5153 3680 2485 1746 11 287
20150604 12:31:30 0 0 0 0 0 0 0 100 0 7002 980 2 1011 0 0.00 0.06 0.08 8175576 2022956 6152620 0 442984 812792 251232 420072 2882472 8386556 0 8386556 0 0 88 0 0 590688 0 8 30 0 0 0 0 33544 561 291 0 0 302 108 0 0 0 0 195 195 20 21 0 0 0 0 0 0 2 2 0 8 8 0 0 0 175272 1920 0 155992 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 101 0 0 1269 2978 4112 2388 1903 5153 3680 2485 1746 11 287
20150604 12:31:40 4 0 3 0 0 0 0 92 8 9919 6852 2 1011 4 0.00 0.06 0.08 8175576 2032732 6142844 0 442988 813488 254252 420148 2882472 8386556 0 8386556 0 0 2348 0 0 589156 0 1794 185 1 0 0 0 36516 561 291 0 0 302 298 0 0 0 0 598 504 442 113 0 0 0 0 0 0 223 223 0 1794 1794 0 1 1 176764 1888 0 156739 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 215 0 0 545 2639 4053 2279 1902 5153 3682 2485 1746 11 287
20150604 12:31:50 6 0 4 0 0 0 0 89 10 11921 10248 2 1011 0 0.00 0.06 0.08 8175576 2043156 6132420 0 442988 817916 256720 420052 2882472 8386556 0 8386556 0 0 4340 0 0 589664 0 3136 264 1 0 0 0 38900 561 291 0 0 302 106 0 0 0 0 780 636 644 155 0 0 0 0 0 0 338 338 0 3137 3137 0 80 80 178344 1888 0 157530 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 266 0 0 731 2589 3509 2199 1898 5151 3682 2484 1747 11 287
20150604 12:32:00 2 0 1 0 0 0 0 97 3 7616 2121 2 1011 0 0.00 0.06 0.08 8175576 2041236 6134340 0 442988 813972 255476 419716 2882472 8386556 0 8386556 0 0 900 0 0 585712 0 1153 167 1 0 0 0 37360 561 291 0 0 302 106 0 0 0 0 255 260 51 68 0 0 0 0 0 0 40 40 0 1153 1153 0 0 0 179424 1920 0 158070 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 119 0 0 1510 2612 3392 2237 1890 5151 3682 2484 1747 11 287
